Source,Target
383498,209112
383498,155
383498,272
383498,141052
383498,263115
402900,1572
402900,949
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
363088,141052
363088,49521
363088,209112
363088,297762
363088,1924
462919,621
462919,15121
462919,224141
462919,429417
462919,2976
454983,449176
454983,49022
454983,84892
454983,101299
454983,9769
293660,141052
293660,1924
293660,1452
293660,8536
293660,155
455980,460019
455980,380
455980,353486
455980,254470
455980,260514
283995,299536
283995,1924
283995,1452
283995,8536
283995,9738
354912,4011
354912,745
354912,254470
354912,6477
354912,472424
177572,479
177572,281957
177572,73
177572,2048
177572,238636
269149,278927
269149,338970
269149,346364
269149,101299
269149,10315
487558,363676
487558,389015
487558,1883
487558,424
487558,769
150540,12092
150540,812
150540,260513
150540,11360
150540,326359
455207,9880
455207,8966
455207,50124
455207,466282
455207,281957
194662,98566
194662,155
194662,272
194662,363088
194662,263115
460668,2062
460668,694
460668,745
460668,453
460668,433
20352,342473
20352,93456
20352,309809
20352,20497
20352,19101
420814,424
420814,769
420814,316029
420814,324786
420814,389015
291805,467938
291805,260346
291805,281957
291805,241554
291805,101
400155,49017
400155,277
400155,76492
400155,7131
400155,124905
437557,376660
437557,10735
437557,11631
437557,391713
437557,14
207703,1726
207703,102899
207703,99861
207703,10138
207703,10195
445571,275
445571,473149
445571,309809
445571,984
445571,270487
458423,224141
458423,15121
458423,10020
458423,11631
458423,621
313369,10947
313369,2976
313369,705
313369,824
313369,6477
399174,387592
399174,531
399174,263109
399174,533
399174,530
93456,49519
93456,20352
93456,207703
93456,116711
93456,324852
98566,272
98566,604
98566,605
98566,1930
98566,68721
106646,261023
106646,4771
106646,339692
106646,769
106646,400535
257344,251516
257344,333339
257344,603
257344,604
257344,605
425,49519
425,387592
425,278154
425,675
425,10567
585,62211
585,339404
585,1124
585,13374
585,55721
454619,3134
454619,357096
454619,281957
454619,238636
454619,467938
455656,19840
455656,10625
455656,9880
455656,2105
455656,449176
310,604
310,9946
310,311
310,145
310,6557
808,809
808,10882
808,10140
808,321612
808,10020
474335,449749
474335,2300
474335,773
474335,1696
474335,340485
18785,10029
18785,429733
18785,627
18785,45243
18785,12593
449176,398818
449176,376867
449176,26280
449176,26933
449176,184352
340022,562
340022,1571
340022,1572
340022,27576
340022,2502
257445,767
257445,671
257445,674
257445,50619
257445,411
339846,545957
339846,205775
339846,152747
339846,14372
339846,16314
62177,10144
62177,109445
62177,10895
62177,10555
62177,10882
335797,260514
335797,9836
335797,258509
335797,9986
335797,9447
353486,333339
353486,131631
353486,258489
353486,314095
353486,70160
270946,10140
270946,808
270946,812
270946,12
270946,128
224141,10882
224141,808
224141,321612
224141,150689
224141,809
350,84892
350,50619
350,466282
350,222935
350,281957
387592,425
387592,49519
387592,278154
387592,60308
387592,22881
214756,250546
214756,72105
214756,10193
214756,11249
214756,11932
159824,76492
159824,9479
159824,671
159824,672
159824,675
218746,52449
218746,449176
218746,372058
218746,22
218746,58
14160,9479
14160,326359
14160,3933
14160,32085
14160,36107
254470,114150
254470,354912
254470,6477
254470,290762
254470,786
181533,122
181533,863
181533,1593
181533,131631
181533,137113
179144,12271
179144,627
179144,8363
179144,11801
179144,306819
166426,1865
166426,22
166426,58
166426,285
166426,71805
452731,370663
452731,258480
452731,10818
452731,437557
452731,39781
364689,920
364689,6477
364689,1265
364689,9986
364689,25475
446894,8989
446894,487283
446894,413644
446894,14220
446894,38006
608,607
608,601
608,840
608,395
608,817
2976,6477
2976,313369
2976,409447
2976,86829
2976,630
260514,335797
260514,258509
260514,9986
260514,9598
260514,15171
390043,245891
390043,249070
390043,59967
390043,156022
390043,1620
